"","site_no","DroughtDeficit_fixed10_MMD_tau","DroughtDeficit_fixed20_MMD_tau","DroughtDeficit_fixed2_MMD_tau","DroughtDeficit_fixed30_MMD_tau","DroughtDeficit_fixed5_MMD_tau","DroughtDeficit_variable10_MMD_tau","DroughtDeficit_variable20_MMD_tau","DroughtDeficit_variable2_MMD_tau","DroughtDeficit_variable30_MMD_tau","DroughtDeficit_variable5_MMD_tau","DroughtDuration_fixed10_days_tau","DroughtDuration_fixed20_days_tau","DroughtDuration_fixed2_days_tau","DroughtDuration_fixed30_days_tau","DroughtDuration_fixed5_days_tau","DroughtDuration_variable10_days_tau","DroughtDuration_variable20_days_tau","DroughtDuration_variable2_days_tau","DroughtDuration_variable30_days_tau","DroughtDuration_variable5_days_tau","Max_7DayStreamflow_Fall_SON_MMD_tau","Max_7DayStreamflow_MMD_tau","Max_7DayStreamflow_Spring_MAM_MMD_tau","Max_7DayStreamflow_Summer_JJA_MMD_tau","Max_7DayStreamflow_Winter_DJF_MMD_tau","MeanAnnualQ_MMD_tau","MeanFall_SON_MMD_tau","MeanSpring_MAM_MMD_tau","MeanSummer_JJA_MMD_tau","MeanWinter_DJF_MMD_tau","Min_7DayStreamflow_Fall_SON_MMD_tau","Min_7DayStreamflow_MMD_tau","Min_7DayStreamflow_Spring_MAM_MMD_tau","Min_7DayStreamflow_Summer_JJA_MMD_tau","Min_7DayStreamflow_Winter_DJF_MMD_tau","Year_tau","DroughtDeficit_fixed10_MMD_p_value","DroughtDeficit_fixed20_MMD_p_value","DroughtDeficit_fixed2_MMD_p_value","DroughtDeficit_fixed30_MMD_p_value","DroughtDeficit_fixed5_MMD_p_value","DroughtDeficit_variable10_MMD_p_value","DroughtDeficit_variable20_MMD_p_value","DroughtDeficit_variable2_MMD_p_value","DroughtDeficit_variable30_MMD_p_value","DroughtDeficit_variable5_MMD_p_value","DroughtDuration_fixed10_days_p_value","DroughtDuration_fixed20_days_p_value","DroughtDuration_fixed2_days_p_value","DroughtDuration_fixed30_days_p_value","DroughtDuration_fixed5_days_p_value","DroughtDuration_variable10_days_p_value","DroughtDuration_variable20_days_p_value","DroughtDuration_variable2_days_p_value","DroughtDuration_variable30_days_p_value","DroughtDuration_variable5_days_p_value","Max_7DayStreamflow_Fall_SON_MMD_p_value","Max_7DayStreamflow_MMD_p_value","Max_7DayStreamflow_Spring_MAM_MMD_p_value","Max_7DayStreamflow_Summer_JJA_MMD_p_value","Max_7DayStreamflow_Winter_DJF_MMD_p_value","MeanAnnualQ_MMD_p_value","MeanFall_SON_MMD_p_value","MeanSpring_MAM_MMD_p_value","MeanSummer_JJA_MMD_p_value","MeanWinter_DJF_MMD_p_value","Min_7DayStreamflow_Fall_SON_MMD_p_value","Min_7DayStreamflow_MMD_p_value","Min_7DayStreamflow_Spring_MAM_MMD_p_value","Min_7DayStreamflow_Summer_JJA_MMD_p_value","Min_7DayStreamflow_Winter_DJF_MMD_p_value","Year_p_value","station_name","station_lat","station_lon"
"1","06821500",1,1,1,0.615559279918671,1,0.33070370554924,0.439306110143661,1,0.431877791881561,0.185671135783195,0.615559279918671,0.615559279918671,0.615559279918671,0.586101293563843,0.615559279918671,0.600333452224731,0.570593059062958,0.615559279918671,0.561833262443542,0.615559279918671,-0.431531131267548,-0.571717143058777,-0.577059209346771,-0.498231500387192,-0.66416722536087,-0.555555582046509,-0.413340121507645,-0.605356335639954,-0.439616024494171,-0.685883343219757,-0.631011724472046,-0.642109811306,-0.731815040111542,-0.203631728887558,-0.639545440673828,1,1,1,1,0,1,0.00382459163665771,4.70876693725586e-05,1,3.51667404174805e-05,0.130166172981262,0,0,0,0,0,0,1.19209289550781e-07,0,1.19209289550781e-07,0,3.08002236124594e-05,3.25733680028861e-08,2.4584485558421e-08,1.48583592363138e-06,3.15460296773651e-10,7.85215092946601e-08,6.56906559015624e-05,4.91256146872843e-09,2.17882989090867e-05,9.56757867376368e-11,1.46273055889878e-08,1.37493127994048e-08,8.74399337658094e-12,0.0575539618730545,6.60425270027076e-09,0,"Arikaree River nr Haigler, Nebr.",40.0178611,-101.9963056
"2","06823000",0.488262891769409,0.406060606241226,0.481338232755661,0.408080816268921,0.523423194885254,0.325876384973526,0.35055884718895,0.166145250201225,0.34343433380127,0.215383246541023,0.406983584165573,0.321667462587357,0.458389341831207,0.374875068664551,0.470078200101852,0.424439817667007,0.395944178104401,0.232266768813133,0.380567580461502,0.385634005069733,-0.207175374031067,-0.117171719670296,-0.143434345722198,-0.266666680574417,-0.0838807597756386,-0.30303031206131,-0.351515144109726,-0.246464639902115,-0.290909081697464,-0.0949494913220406,-0.414141416549683,-0.470707058906555,-0.176857024431229,-0.490909099578857,-0.0818595364689827,1,3.09944152832031e-06,8.74996185302734e-05,5.16176223754883e-05,8.07046890258789e-05,1.31130218505859e-06,0.00177836418151855,0.000734686851501465,0.133799195289612,0.00091242790222168,0.0422087907791138,9.93013381958008e-05,0.0019838809967041,0.000101804733276367,0.000305414199829102,1.20401382446289e-05,4.63724136352539e-05,0.00014030933380127,0.0374412536621094,0.000243425369262695,0.000255227088928223,0.0459678210318089,0.260603100061417,0.167800113558769,0.0100894039496779,0.422443866729736,0.00344551890157163,0.000687628460582346,0.0174491871148348,0.00499237049371004,0.362951338291168,6.30836657364853e-05,5.39582151759532e-06,0.0887169241905212,2.09099584935757e-06,0.433848530054092,0,"North Fork Republican River at Colorado-Nebraska",40.06943516,-102.0512979
"3","06823500",0.320620000362396,0.179797977209091,1,0.311111122369766,1,0.52620530128479,0.599725306034088,0.389770597219467,0.646406173706055,0.534865200519562,0.232665181159973,0.232846960425377,0.348034888505936,0.542324721813202,0.348034888505936,0.566064298152924,0.615163385868073,0.38655561208725,0.678159356117249,0.531187772750854,-0.655207574367523,-0.488125383853912,-0.517171740531921,-0.369696974754333,-0.694290101528168,-0.743434369564056,-0.709090888500214,-0.705050528049469,-0.282828271389008,-0.79595959186554,-0.418956190347672,-0.367259651422501,-0.458270639181137,-0.199891284108162,-0.610015869140625,1,0.0021061897277832,0.0833678245544434,1,0.00267183780670166,1,1.31130218505859e-06,0,0.000809788703918457,0,1.07288360595703e-06,0.0261775255203247,0.0256121158599854,0.000891923904418945,1.19209289550781e-07,0.000891923904418945,0,0,0.000212550163269043,0,3.57627868652344e-07,2.4553287181206e-10,2.41350721807976e-06,5.76985485167825e-07,0.000356237054802477,1.93305250278941e-11,6.47889890608572e-13,7.01221285898113e-12,9.21389527175354e-12,0.00634752726182342,1.37472939119605e-14,0.000110078195575625,0.00228291610255837,9.76176852418575e-06,0.0942714586853981,3.86658927098438e-09,0,"Buffalo Creek near Haigler, Nebr.",40.03944444,-101.8666667
"4","06824000",0.648518919944763,0.737125158309937,0.483352899551392,0.743484437465668,0.590968787670135,0.617060899734497,0.689931154251099,0.529351890087128,0.74036180973053,0.590968787670135,0.671994566917419,0.754451811313629,0.51404196023941,0.744340419769287,0.63234668970108,0.658198297023773,0.722969472408295,0.54028731584549,0.757031321525574,0.624371349811554,-0.503539204597473,-0.25682520866394,-0.404449135065079,-0.417382568120956,-0.495694935321808,-0.662626266479492,-0.709090888500214,-0.579797983169556,-0.589899003505707,-0.608080804347992,-0.682162821292877,-0.64173835515976,-0.529292941093445,-0.615462422370911,-0.589783191680908,1,0,0,4.35113906860352e-05,0,2.38418579101562e-07,0,0,6.67572021484375e-06,0,2.38418579101562e-07,0,0,1.37090682983398e-05,0,0,0,0,4.41074371337891e-06,0,0,1.16042542686046e-06,0.0133175132796168,9.48041342780925e-05,5.56563099962659e-05,1.79239725639491e-06,1.48003581612599e-10,7.01221285898113e-12,2.07931769580227e-08,1.17653051745492e-08,4.12318179598969e-09,4.29291081849303e-11,5.56484580638283e-10,3.11829722932089e-07,2.71546007901691e-09,1.23872281321269e-08,0,"Rock Creek at Parks, Nebr.",40.0422222,-101.7280556
"5","06827500",1,1,1,1,1,1,0.358746081590652,1,0.490287065505981,1,0.419254451990128,0.419254451990128,0.419254451990128,0.419254451990128,0.419254451990128,0.419254451990128,0.413927406072617,0.419254451990128,0.41962593793869,0.419254451990128,-0.479254007339478,-0.473296195268631,-0.482155054807663,-0.412225723266602,-0.643506228923798,-0.601544201374054,-0.447109699249268,-0.578900039196014,-0.383236140012741,-0.601477146148682,-0.1929991543293,-0.188612818717957,-0.58438366651535,-0.197755187749863,-0.414225161075592,1,1,1,1,1,1,1,0.00301170349121094,1,1.10864639282227e-05,1,6.11543655395508e-05,6.11543655395508e-05,6.11543655395508e-05,6.11543655395508e-05,6.11543655395508e-05,6.11543655395508e-05,7.53402709960938e-05,6.11543655395508e-05,5.88893890380859e-05,6.11543655395508e-05,1.05801254903781e-05,5.48929847354884e-06,3.88392618333455e-06,7.57617890485562e-05,1.99987759685882e-09,7.4963448781773e-09,3.93796981370542e-05,2.88007377946542e-08,0.000251954508712515,2.04290255823025e-08,0.117165297269821,0.125827357172966,5.07506037195071e-08,0.101861663162708,0.000174460714333691,0,"South Fork Republican River near Benkelman, Nebr.",40.01027778,-101.5419444
"6","06828500",1,1,1,0.253920376300812,1,0.272372871637344,0.321571290493011,0.134945228695869,0.377669811248779,0.226848959922791,0.174229666590691,0.174229666590691,0.174229666590691,0.315470337867737,0.174229666590691,0.215451166033745,0.282532542943954,0.175519347190857,0.348532497882843,0.191060468554497,-0.420309960842133,-0.442424237728119,-0.393939405679703,-0.347474753856659,-0.45252525806427,-0.523232340812683,-0.414261400699615,-0.488888889551163,-0.29898989200592,-0.440404027700424,-0.0291287638247013,-0.00670025264844298,-0.269833296537399,0.0553120486438274,-0.330970853567123,1,1,1,1,0.0144447088241577,1,0.0163240432739258,0.00275552272796631,0.272417068481445,0.000281095504760742,0.0507478713989258,0.0958303213119507,0.0958303213119507,0.0958303213119507,0.00234544277191162,0.0958303213119507,0.0388364791870117,0.00652551651000977,0.0938457250595093,0.000789880752563477,0.0671110153198242,5.26987205375917e-05,1.91245617315872e-05,0.000141619631904177,0.000792687176726758,1.22721075968002e-05,4.24879175398019e-07,6.97851937729865e-05,2.3027364477457e-06,0.00390439620241523,2.08760320674628e-05,0.810915470123291,0.966359913349152,0.00926220044493675,0.639857769012451,0.00154250883497298,0,"Republican River at Stratton, Nebr.",40.14055556,-101.2297222
"7","06834000",0.485843896865845,0.49185386300087,0.324623465538025,0.52248615026474,0.406101405620575,0.349992036819458,0.403290152549744,0.418816983699799,0.460293918848038,0.35019451379776,0.54024863243103,0.575153231620789,0.369803339242935,0.590870499610901,0.414945870637894,0.437470257282257,0.471161812543869,0.418432414531708,0.52514785528183,0.392044305801392,-0.621526122093201,-0.596562504768372,-0.172989577054977,-0.661274313926697,-0.589783191680908,-0.707070708274841,-0.565656542778015,-0.294949501752853,-0.725252509117126,-0.594540238380432,-0.433552354574203,-0.397572547197342,-0.315790116786957,-0.43073832988739,-0.249873831868172,1,1.29938125610352e-05,2.62260437011719e-06,0.00641393661499023,4.76837158203125e-07,0.000361084938049316,0.00107097625732422,0.000112295150756836,0.000252842903137207,8.94069671630859e-06,0.00122666358947754,1.07288360595703e-06,0,0.00178039073944092,0,0.000278472900390625,4.06503677368164e-05,6.43730163574219e-06,0.000224113464355469,4.76837158203125e-07,0.00030982494354248,1.89416771156914e-09,8.2956779223764e-09,0.0962657779455185,1.67558217301078e-10,1.24004388979415e-08,8.03952564243371e-12,4.54329764920658e-08,0.00441812071949244,2.31726703797674e-12,9.31396026970788e-09,2.82624605461024e-05,0.000125451930216514,0.00234247138723731,3.21209590765648e-05,0.016093147918582,0,"Frenchman Creek at Palisade, Nebr.",40.35166667,-101.1236111
"8","06835500",0.0476996377110481,0.0868686884641647,1,0.125252529978752,0.138954669237137,0.291115641593933,0.361333668231964,0.24146868288517,0.416161626577377,0.292092174291611,0.0537614040076733,0.143870979547501,0.264521241188049,0.282819807529449,0.0452975332736969,0.327468514442444,0.349958002567291,0.233624577522278,0.399191558361053,0.382430016994476,-0.506316363811493,-0.244444444775581,-0.376958101987839,-0.105050504207611,-0.71385270357132,-0.446464657783508,-0.482828289270401,-0.347474753856659,-0.0444444455206394,-0.666666686534882,-0.188882723450661,-0.0214407425373793,-0.0181818176060915,0.00407345499843359,-0.337715029716492,1,0.661775827407837,0.40569281578064,1,0.228889107704163,0.232815027236938,0.00751268863677979,0.000524997711181641,0.0429563522338867,5.80549240112305e-05,0.00998783111572266,0.620176315307617,0.167678117752075,0.0292333364486694,0.00652039051055908,0.698207139968872,0.00233364105224609,0.000782966613769531,0.0476557016372681,0.00011599063873291,0.000618696212768555,1.00124498203513e-06,0.0183965247124434,0.000273489451501518,0.313656628131866,5.30392093092691e-12,1.60324743774254e-05,3.06871447719459e-06,0.000792687176726758,0.674018144607544,1.14426031150305e-10,0.0712662562727928,0.844561040401459,0.86792129278183,0.976554870605469,0.00112269935198128,0,"Frenchman Creek at Culbertson, Nebr.",40.2347215,-100.8782139
"9","06836500",0.448848903179169,0.497175365686417,0.293101459741592,0.54972517490387,0.397976934909821,0.384486198425293,0.515666604042053,0.236599966883659,0.554767549037933,0.302287369966507,0.445425748825073,0.499060392379761,0.286038756370544,0.54750406742096,0.392293274402618,0.3998062312603,0.533322334289551,0.243662640452385,0.556198477745056,0.334171861410141,-0.402020215988159,-0.179797977209091,-0.241536155343056,-0.339393943548203,-0.565656542778015,-0.484848499298096,-0.501010119915009,-0.335353523492813,-0.478787869215012,-0.555555582046509,-0.52854984998703,-0.543984115123749,-0.475998044013977,-0.524507403373718,-0.514401257038116,1,8.02278518676758e-05,9.05990600585938e-06,0.0150266885757446,4.76837158203125e-07,0.000583767890930176,0.000893473625183105,3.33786010742188e-06,0.0499811172485352,3.57627868652344e-07,0.0107176303863525,9.20295715332031e-05,7.62939453125e-06,0.017654538154602,4.76837158203125e-07,0.000721573829650879,0.000513076782226562,1.54972076416016e-06,0.0434792041778564,3.57627868652344e-07,0.00453698635101318,0.000102929247077554,0.0833678692579269,0.0198959894478321,0.00104887690395117,4.54329764920658e-08,2.78962625088752e-06,1.28378076169611e-06,0.00120392884127796,3.70934253624e-06,7.85215092946601e-08,3.27981069858652e-07,1.49147993511178e-07,4.26749556936556e-06,4.03108487034842e-07,6.70717838602286e-07,0,"Driftwood Creek near McCook, Nebr.",40.14583655,-100.6732083
"10","06837000",0.406101405620575,0.515219807624817,1,0.500051438808441,1,0.399686247110367,0.507524073123932,0.243707045912743,0.523766696453094,0.35333639383316,0.400128215551376,0.544418156147003,0.398093104362488,0.534171283245087,0.398093104362488,0.458727955818176,0.50133204460144,0.395318925380707,0.54957503080368,0.403115153312683,-0.416161626577377,-0.385858595371246,-0.338554859161377,-0.448484838008881,-0.616161644458771,-0.539393961429596,-0.470707058906555,-0.400000005960464,-0.569696962833405,-0.575757563114166,-0.406471371650696,-0.453442215919495,-0.329292923212051,-0.484082937240601,-0.451743364334106,1,0.000361084938049316,2.14576721191406e-06,1,1.78813934326172e-06,1,0.00055849552154541,3.33786010742188e-06,0.0459907054901123,4.76837158203125e-07,0.00286686420440674,0.000445008277893066,4.76837158203125e-07,0.000623464584350586,3.57627868652344e-07,0.000623464584350586,5.76972961425781e-05,3.33786010742188e-06,0.00068056583404541,1.19209289550781e-07,0.000510811805725098,5.80664782319218e-05,0.000193723346455954,0.00108520640060306,1.46712218338507e-05,2.5623110300188e-09,1.84835101890712e-07,5.39582151759532e-06,0.000111537759948988,3.64077550329966e-08,2.60444537047988e-08,8.742213685764e-05,1.22173141789972e-05,0.00147654768079519,2.92278559754777e-06,1.28218553072657e-05,0,"Republican River at McCook, Nebr.",40.18777778,-100.6186111
"11","06838000",0.554767549037933,0.530295312404633,0.376391768455505,0.533131659030914,0.501823246479034,0.567950189113617,0.585510194301605,0.51215398311615,0.547114968299866,0.501823246479034,0.554767549037933,0.5653355717659,0.4019435942173,0.535697877407074,0.527790486812592,0.613374888896942,0.578827559947968,0.537043929100037,0.509131968021393,0.531013607978821,-0.383838385343552,-0.0989898964762688,-0.0788675844669342,-0.280808091163635,-0.420202016830444,-0.264646470546722,-0.410100996494293,-0.21414141356945,-0.387878775596619,-0.400000005960464,-0.325252532958984,-0.428716093301773,-0.416582614183426,-0.43232324719429,-0.371717184782028,1,3.57627868652344e-07,3.57627868652344e-07,0.00114643573760986,2.38418579101562e-07,5.96046447753906e-06,1.19209289550781e-07,0,7.74860382080078e-06,1.19209289550781e-07,5.96046447753906e-06,3.57627868652344e-07,1.19209289550781e-07,0.000376224517822266,2.38418579101562e-07,2.02655792236328e-06,0,0,2.86102294921875e-06,9.5367431640625e-07,1.66893005371094e-06,0.000209315985557623,0.342679083347321,0.451263219118118,0.00673435814678669,4.91436403535772e-05,0.0106742642819881,7.4374554969836e-05,0.0390111245214939,0.000179227150510997,0.000111537759948988,0.00168876023963094,3.49862748407759e-05,5.79718362132553e-05,2.9531329346355e-05,0.000330536830006167,0,"Red Willow Creek near Red Willow, Nebr.",40.2347222,-100.5008333
"12","06843500",0.345743864774704,0.434346556663513,1,0.438921272754669,1,0.479143857955933,0.444978624582291,0.302148133516312,0.449631124734879,0.47389566898346,0.391518145799637,0.46313551068306,0.202312216162682,0.411017864942551,0.202312216162682,0.416858166456223,0.422287106513977,0.31337895989418,0.460726052522659,0.419709473848343,-0.170280292630196,-0.310782253742218,-0.175475686788559,-0.443151831626892,-0.301427841186523,-0.422832995653152,-0.338266372680664,-0.226215645670891,-0.456659615039825,-0.344608873128891,-0.31657001376152,-0.349577069282532,-0.276044458150864,-0.141649052500725,-0.208355396986008,1,0.00265371799468994,4.66108322143555e-05,1,2.82526016235352e-05,1,1.39474868774414e-05,3.44514846801758e-05,0.011623740196228,1.87158584594727e-05,3.11136245727539e-05,0.000593304634094238,1.35898590087891e-05,0.0900624990463257,9.03606414794922e-05,0.0900624990463257,0.000151753425598145,7.79628753662109e-05,0.00651180744171143,1.18017196655273e-05,0.00017094612121582,0.105584003031254,0.00304183037951589,0.0951464548707008,2.35801180679118e-05,0.00407112529501319,5.44651084055658e-05,0.00125336239580065,0.0312136821448803,1.30510607050383e-05,0.00101212179288268,0.00257305172272027,0.000873505079653114,0.00854243710637093,0.178561672568321,0.0474236570298672,0,"Republican River at Cambridge, Nebr.",40.28444444,-100.1436111
"13","06844500",0.168339461088181,0.172656506299973,1,0.201315358281136,1,0.159674540162086,0.183378607034683,0.0926278382539749,0.233030453324318,0.236179858446121,0.159925013780594,0.18406292796135,0.0768891051411629,0.292091637849808,0.0768891051411629,0.116152636706829,0.201563611626625,0.0798463746905327,0.272960722446442,0.179860055446625,-0.208080813288689,-0.240404039621353,-0.185858592391014,-0.208080813288689,-0.331313133239746,-0.32323232293129,-0.197979792952538,-0.264646470546722,-0.22424241900444,-0.258585870265961,-0.156211122870445,-0.12501285970211,-0.280808091163635,-0.127230167388916,-0.132390111684799,1,0.145385980606079,0.102329134941101,1,0.0527161359786987,1,0.162779331207275,0.0872507095336914,0.46138346195221,0.0250208377838135,0.0442566871643066,0.162727832794189,0.0792568922042847,0.520014524459839,0.004974365234375,0.520014524459839,0.306109189987183,0.0596288442611694,0.503781795501709,0.00871264934539795,0.117568612098694,0.0449229031801224,0.0204270668327808,0.0734274759888649,0.0449229031801224,0.0013799206353724,0.00180507590994239,0.0564490966498852,0.0106742642819881,0.0306264478713274,0.0126137724146247,0.136204078793526,0.235078424215317,0.00673435814678669,0.224497511982918,0.20345750451088,0,"Republican River near Orleans, Nebr.",40.13166667,-99.5025
"14","06846500",1,1,1,1,1,1,1,1,1,1,0.312477290630341,0.312477290630341,0.312477290630341,0.312477290630341,0.312477290630341,0.312477290630341,0.312477290630341,0.312477290630341,0.312477290630341,0.312477290630341,-0.174966529011726,-0.29236251115799,-0.148499697446823,-0.290339231491089,-0.202422052621841,-0.312595218420029,-0.194874688982964,-0.142089635133743,-0.279636532068253,-0.183908343315125,-0.0851849317550659,1,-0.167170956730843,-0.0811494439840317,-0.0811494439840317,1,1,1,1,1,1,1,1,1,1,1,0.00273704528808594,0.00273704528808594,0.00273704528808594,0.00273704528808594,0.00273704528808594,0.00273704528808594,0.00273704528808594,0.00273704528808594,0.00273704528808594,0.00273704528808594,0.120118491351604,0.00483535556122661,0.168470829725266,0.00513827940449119,0.0763240680098534,0.00258267275057733,0.0865355581045151,0.187751963734627,0.0071183885447681,0.103800982236862,0.508829295635223,1,0.172700762748718,0.524503767490387,0.524503767490387,0,"BEAVER C AT CEDAR BLUFFS, KS",39.98500557,-100.560148
